"","district_name","Pct_Homeless_2018","district_lea","district_bak"
"79","HUNTSVILLE SCHOOL DISTRICT",0.040595399188092,4401000,"HUNTSVILLE__"
"80","MCCRORY SCHOOL DISTRICT",0.0394944707740916,7403000,"MCCRORY__"
"81","MARKED TREE SCHOOL DISTRICT",0.0394190871369295,5604000,"MARKED_TREE__"
"82","CEDARVILLE SCHOOL DISTRICT",0.0389261744966443,1702000,"CEDARVILLE__"
"83","NETTLETON SCHOOL DISTRICT",0.0385288966725044,1611000,"NETTLETON__"
"84","GENTRY SCHOOL DISTRICT",0.0381679389312977,403000,"GENTRY__"
"85","HOXIE SCHOOL DISTRICT",0.0379436964504284,3804000,"HOXIE__"
"86","CLARKSVILLE SCHOOL DISTRICT",0.0363636363636364,3601000,"CLARKSVILLE__"
"87","OUACHITA RIVER SCHOOL DISTRICT",0.0361930294906166,5706000,"OUACHITA_RIVER__"
"88","WESTERN YELL CO. SCHOOL DIST.",0.0350877192982456,7509000,"WESTERN_YELL_CO.__DIST."
"89","CLEVELAND COUNTY SCHOOL DISTRICT",0.0348557692307692,1305000,"CLEVELAND_COUNTY__"
"90","PULASKI COUNTY SPECIAL SCHOOL DISTRIC",0.0343257147676478,6003000,"PULASKI_COUNTY_SPECIAL__DISTRIC"
"91","HAMBURG SCHOOL DISTRICT",0.0342823939570017,203000,"HAMBURG__"
"92","CEDAR RIDGE SCHOOL DISTRICT",0.0341530054644809,3212000,"CEDAR_RIDGE__"
"93","RECTOR SCHOOL DISTRICT",0.0340501792114695,1106000,"RECTOR__"
"94","MAMMOTH SPRING SCHOOL DISTRICT",0.0325379609544469,2501000,"MAMMOTH_SPRING__"
"95","HIGHLAND SCHOOL DISTRICT",0.0323565323565324,6804000,"HIGHLAND__"
"96","LINCOLN SCHOOL DISTRICT",0.0310008857395926,7205000,"LINCOLN__"
"97","SEARCY COUNTY SCHOOL DISTRICT",0.0309405940594059,6502000,"SEARCY_COUNTY__"
"98","SCRANTON SCHOOL DISTRICT",0.0306603773584906,4204000,"SCRANTON__"
"99","EAST END SCHOOL DISTRICT",0.0305810397553517,5301000,"EAST_END__"
"100","SOUTH SIDE SCHOOL DISTRICT(VANBUREN)",0.0303605313092979,7105000,"SOUTH_SIDE__(VANBUREN)"
"101","WALDRON SCHOOL DISTRICT",0.0299651567944251,6401000,"WALDRON__"
"102","ENGLAND SCHOOL DISTRICT",0.0298953662182362,4302000,"ENGLAND__"
"103","OSCEOLA SCHOOL DISTRICT",0.0297674418604651,4713000,"OSCEOLA__"
"104","ALMA SCHOOL DISTRICT",0.0293028994447872,1701000,"ALMA__"
"105","ARKANSAS ARTS ACADEMY",0.0292682926829268,440700,"ARKANSAS_ARTS_ACADEMY"
"106","SOUTHSIDE SCHOOL DISTRICT (INDEPENDEN",0.0283114256825076,3209000,"SOUTHSIDE___(INDEPENDEN"
"107","DEQUEEN SCHOOL DISTRICT",0.0273745333886354,6701000,"DEQUEEN__"
"108","STUTTGART SCHOOL DISTRICT",0.0271668822768435,104000,"STUTTGART__"
"109","WEST FORK SCHOOL DISTRICT",0.0270551508844953,7208000,"WEST_FORK__"
"110","RUSSELLVILLE SCHOOL DISTRICT",0.0266718206416699,5805000,"RUSSELLVILLE__"
"111","POCAHONTAS SCHOOL DISTRICT",0.0261501210653753,6103000,"POCAHONTAS__"
"112","GREENE COUNTY TECH SCHOOL DISTRICT",0.0253411306042885,2807000,"GREENE_COUNTY_TECH__"
"113","RIVERCREST SCHOOL DISTRICT 57",0.0252613240418118,4706000,"RIVERCREST___57"
"114","NEMO VISTA SCHOOL DISTRICT",0.0246636771300448,1503000,"NEMO_VISTA__"
"115","MOUNTAIN PINE SCHOOL DISTRICT",0.0245183887915937,2607000,"MOUNTAIN_PINE__"
"116","DOVER SCHOOL DISTRICT",0.0244444444444444,5802000,"DOVER__"
"117","LAVACA SCHOOL DISTRICT",0.024390243902439,6605000,"LAVACA__"
"118","LAFAYETTE COUNTY SCHOOL DISTRICT",0.0239852398523985,3704000,"LAFAYETTE_COUNTY__"
"119","NASHVILLE SCHOOL DISTRICT",0.0239458615304529,3105000,"NASHVILLE__"
"120","CUTTER-MORNING STAR SCHOOL DISTRICT",0.0237341772151899,2601000,"CUTTER-MORNING_STAR__"
"121","FAYETTEVILLE SCHOOL DISTRICT",0.0237081478614283,7203000,"FAYETTEVILLE__"
"122","IZARD COUNTY CONSOLIDATED SCHOOL DIST",0.0235294117647059,3306000,"IZARD_COUNTY_CONSOLIDATED__DIST"
"123","MARION SCHOOL DISTRICT",0.0234009360374415,1804000,"MARION__"
"124","GLEN ROSE SCHOOL DISTRICT",0.0223084384093113,3002000,"GLEN_ROSE__"
"125","KIRBY SCHOOL DISTRICT",0.0221606648199446,5503000,"KIRBY__"
"126","LONOKE SCHOOL DISTRICT",0.022093023255814,4301000,"LONOKE__"
"127","PRAIRIE GROVE SCHOOL DISTRICT",0.0220440881763527,7206000,"PRAIRIE_GROVE__"
"128","SILOAM SPRINGS SCHOOL DISTRICT",0.0219934487599438,406000,"SILOAM_SPRINGS__"
"129","ESTEM PUBLIC CHARTER SCHOOL",0.0214983713355049,6047700,"ESTEM_PUBLIC_CHARTER_"
"130","BATESVILLE SCHOOL DISTRICT",0.0208809135399674,3201000,"BATESVILLE__"
"131","DOLLARWAY SCHOOL DISTRICT",0.0208116545265349,3502000,"DOLLARWAY__"
"132","LAKESIDE SCHOOL DIST(GARLAND)",0.020501138952164,2606000,"LAKESIDE__DIST(GARLAND)"
"133","ASHDOWN SCHOOL DISTRICT",0.0200716845878136,4101000,"ASHDOWN__"
"134","CAVE CITY SCHOOL DISTRICT",0.0199833472106578,6802000,"CAVE_CITY__"
"135","SEARCY SCHOOL DISTRICT",0.019980266403552,7311000,"SEARCY__"
"136","RIVERVIEW SCHOOL DISTRICT",0.0198019801980198,7307000,"RIVERVIEW__"
"137","CAMDEN FAIRVIEW SCHOOL DISTRICT",0.0194174757281553,5204000,"CAMDEN_FAIRVIEW__"
"138","HAZEN SCHOOL DISTRICT",0.0193321616871705,5903000,"HAZEN__"
"139","WESTSIDE SCHOOL DIST(JOHNSON)",0.018957345971564,3606000,"WESTSIDE__DIST(JOHNSON)"
"140","HERMITAGE SCHOOL DISTRICT",0.0187353629976581,601000,"HERMITAGE__"
"141","MAGNOLIA SCHOOL DISTRICT",0.0185185185185185,1402000,"MAGNOLIA__"
"142","HELENA/ WEST HELENA SCHOOL DISTRICT",0.0184887459807074,5403000,"HELENA/_WEST_HELENA__"
"143","FOUKE SCHOOL DISTRICT",0.0183654729109275,4603000,"FOUKE__"
"144","LAWRENCE COUNTY SCHOOL DISTRICT",0.018058690744921,3810000,"LAWRENCE_COUNTY__"
"145","BALD KNOB SCHOOL DISTRICT",0.0176470588235294,7301000,"BALD_KNOB__"
"146","BROOKLAND SCHOOL DISTRICT",0.0175987485334376,1603000,"BROOKLAND__"
"147","MOUNT IDA SCHOOL DISTRICT",0.0175824175824176,4902000,"MOUNT_IDA__"
"148","IMBODEN CHARTER SCHOOL DISTRICT",0.0169491525423729,3840700,"IMBODEN_CHARTER__"
"149","OZARK SCHOOL DISTRICT",0.0168067226890756,2404000,"OZARK__"
"150","LITTLE ROCK SCHOOL DISTRICT",0.015142394072702,6001000,"LITTLE_ROCK__"
"151","MENA SCHOOL DISTRICT",0.0151250727166958,5703000,"MENA__"
"152","BENTONVILLE SCHOOL DISTRICT",0.014924506387921,401000,"BENTONVILLE__"
"153","BEARDEN SCHOOL DISTRICT",0.0144927536231884,5201000,"BEARDEN__"
"154","PARKERS CHAPEL SCHOOL DIST.",0.0141570141570142,7007000,"PARKERS_CHAPEL__DIST."
"155","CAPITAL CITY LIGHTHOUSE ACADEMY",0.0140845070422535,6056700,"CAPITAL_CITY_LIGHTHOUSE_ACADEMY"
"156","MOUNTAIN HOME SCHOOL DISTRICT",0.013986013986014,303000,"MOUNTAIN_HOME__"
"157","BUFFALO IS. CENTRAL SCH. DIST.",0.0138121546961326,1605000,"BUFFALO_IS._CENTRAL_SCH._DIST."
"158","BARTON-LEXA SCHOOL DISTRICT",0.0137931034482759,5401000,"BARTON-LEXA__"
"159","FORREST CITY SCHOOL DISTRICT",0.013599274705349,6201000,"FORREST_CITY__"
"160","PALESTINE-WHEATLEY SCH. DIST.",0.0135802469135802,6205000,"PALESTINE-WHEATLEY_SCH._DIST."
"161","MAGNET COVE SCHOOL DIST.",0.0135135135135135,3003000,"MAGNET_COVE__DIST."
"162","PINE BLUFF SCHOOL DISTRICT",0.0134838507369081,3505000,"PINE_BLUFF__"
"163","VIOLA SCHOOL DISTRICT",0.0132978723404255,2503000,"VIOLA__"
"164","VALLEY VIEW SCHOOL DISTRICT",0.01294033069734,1612000,"VALLEY_VIEW__"
"165","WEST MEMPHIS SCHOOL DISTRICT",0.0126845891707686,1803000,"WEST_MEMPHIS__"
"166","GREENWOOD SCHOOL DISTRICT",0.0124470338983051,6602000,"GREENWOOD__"
"167","FOUNTAIN LAKE SCHOOL DISTRICT",0.0123636363636364,2602000,"FOUNTAIN_LAKE__"
"168","ARMOREL SCHOOL DISTRICT",0.0121359223300971,4701000,"ARMOREL__"
"169","FORDYCE SCHOOL DISTRICT",0.0117801047120419,2002000,"FORDYCE__"
"170","DEWITT SCHOOL DISTRICT",0.0114848236259229,101000,"DEWITT__"
"171","WATSON CHAPEL SCHOOL DISTRICT",0.0109267503035208,3509000,"WATSON_CHAPEL__"
"172","CONWAY SCHOOL DISTRICT",0.0107268170426065,2301000,"CONWAY__"
"173","ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",0.0106534090909091,6040700,"ACADEMICS_PLUS_PUBLIC_CHARTER_S"
"174","SPRINGDALE SCHOOL DISTRICT",0.0102956585121407,7207000,"SPRINGDALE__"
"175","GREENBRIER SCHOOL DISTRICT",0.0101694915254237,2303000,"GREENBRIER__"
"176","EUREKA SPRINGS SCHOOL DISTRICT",0.01,802000,"EUREKA_SPRINGS__"
"177","CHARLESTON SCHOOL DISTRICT",0.00997782705099778,2402000,"CHARLESTON__"
"178","DUMAS SCHOOL DISTRICT",0.00987654320987654,2104000,"DUMAS__"
"179","ARKANSAS CONNECTIONS ACADEMY",0.00970873786407767,444700,"ARKANSAS_CONNECTIONS_ACADEMY"
"180","MAGAZINE SCHOOL DISTRICT",0.00961538461538462,4202000,"MAGAZINE__"
"181","EL DORADO SCHOOL DISTRICT",0.0091164095371669,7001000,"EL_DORADO__"
"182","LAKE HAMILTON SCHOOL DISTRICT",0.00907441016333938,2605000,"LAKE_HAMILTON__"
"183","WYNNE SCHOOL DISTRICT",0.00882917466410749,1905000,"WYNNE__"
"184","DARDANELLE SCHOOL DISTRICT",0.00878003696857671,7504000,"DARDANELLE__"
"185","LEE COUNTY SCHOOL DISTRICT",0.00868306801736614,3904000,"LEE_COUNTY__"
"186","DANVILLE SCHOOL DISTRICT",0.00831353919239905,7503000,"DANVILLE__"
"187","TEXARKANA SCHOOL DISTRICT",0.00816023738872404,4605000,"TEXARKANA__"
"188","FORT SMITH SCHOOL DISTRICT",0.00751027348731756,6601000,"FORT_SMITH__"
"189","MONTICELLO SCHOOL DISTRICT",0.00739566825145272,2203000,"MONTICELLO__"
"190","STAR CITY SCHOOL DISTRICT",0.00739247311827957,4003000,"STAR_CITY__"
"191","GOSNELL SCHOOL DISTRICT",0.00705882352941176,4708000,"GOSNELL__"
"192","WESTSIDE CONS. SCH DIST(CRAIGH",0.0069364161849711,1602000,"WESTSIDE_CONS._SCH_DIST(CRAIGH"
"193","JACKSON CO. SCHOOL DISTRICT",0.00691244239631336,3405000,"JACKSON_CO.__"
"194","ROGERS SCHOOL DISTRICT",0.00686073352141575,405000,"ROGERS__"
"195","BAUXITE SCHOOL DISTRICT",0.00647820965842167,6301000,"BAUXITE__"
"196","GRAVETTE SCHOOL DISTRICT",0.00639318060735216,404000,"GRAVETTE__"
"197","SMACKOVER-NORPHLET SCHOOL DISTRICT",0.00631768953068592,7008000,"SMACKOVER-NORPHLET__"
"198","VAN BUREN SCHOOL DISTRICT",0.00610713662537079,1705000,"VAN_BUREN__"
"199","EMERSON-TAYLOR-BRADLEY SCHOOL DISTRIC",0.00585365853658537,1408000,"EMERSON-TAYLOR-BRADLEY__DISTRIC"
"200","DREW CENTRAL SCHOOL DISTRICT",0.00583090379008746,2202000,"DREW_CENTRAL__"
"201","HARMONY GROVE SCH DIST(SALINE)",0.00567260940032415,6304000,"HARMONY_GROVE_SCH_DIST(SALINE)"
"202","SHIRLEY SCHOOL DISTRICT",0.00564971751412429,7104000,"SHIRLEY__"
"203","JONESBORO SCHOOL DISTRICT",0.00522514215460274,1608000,"JONESBORO__"
"204","ROSE BUD SCHOOL DISTRICT",0.00515463917525773,7310000,"ROSE_BUD__"
"205","FARMINGTON SCHOOL DISTRICT",0.00478468899521531,7202000,"FARMINGTON__"
"206","VALLEY SPRINGS SCHOOL DISTRICT",0.00476190476190476,505000,"VALLEY_SPRINGS__"
"207","OZARK MONTESSORI ACADEMY SPRINGDALE",0.00448430493273543,7241700,"OZARK_MONTESSORI_ACADEMY_SPRINGDALE"
"208","PERRYVILLE SCHOOL DISTRICT",0.00441014332965821,5303000,"PERRYVILLE__"
"209","MCGEHEE SCHOOL DISTRICT",0.00428449014567267,2105000,"MCGEHEE__"
"210","BRYANT SCHOOL DISTRICT",0.00426882661996497,6303000,"BRYANT__"
"211","GENOA CENTRAL SCHOOL DISTRICT",0.00425170068027211,4602000,"GENOA_CENTRAL__"
