"","LEA2","Name","Address","x1","district_name","district_enrollment","district_percent_gifted_and_talented","district_percent_special_education","district_percent_homeless","district_percent_lep","district_percent_frl","district_percent_white","district_percent_hispanic","district_percent_black","district_percent_other_races","district_overall_percent_minority","region","is_charter","district_lea","LEA","lon","lat"
"54",2403000,"COUNTY LINE SCHOOL DISTRICT","12092 W. State Hwy. 22
Branch
AR - 72928",54,"COUNTY LINE SCHOOL DISTRICT",488,0.0655737704918033,0.120901639344262,0.133196721311475,0.0184426229508197,0.71516393442623,0.905737704918033,0.0102459016393443,0.0102459016393443,0.0737704918032787,0.0942622950819672,1,0,2403000,"2403000",-93.9189401,35.3078324
"55",1901000,"CROSS COUNTY SCHOOL DISTRICT","21 Cr 215
Cherry Valley
AR - 72324",56,"CROSS COUNTY SCHOOL DISTRICT",581,0.0863557858376511,0.122625215889465,0.132987910189983,0.00518134715025907,0.724612736660929,0.910499139414802,0.0258175559380379,0.0602409638554217,0.00344234079173838,0.0895008605851979,2,0,1901000,"1901000",-90.8072052,35.4041709
"56",201000,"CROSSETT SCHOOL DISTRICT","219 Main
Crossett
AR - 71635",57,"CROSSETT SCHOOL DISTRICT",1633,0.0949173300673607,0.0912431108389467,0,0.0202082057562768,0.630128597672994,0.613594611145132,0.0257195345988977,0.337415799142682,0.0232700551132884,0.386405388854868,5,0,201000,"201000",-91.9610549,33.1327466
"57",2601000,"CUTTER-MORNING STAR SCHOOL DISTRICT","2801 Spring Street
Hot Springs
AR - 71901",58,"CUTTER-MORNING STAR SCHOOL DISTRICT",632,0.134493670886076,0.139240506329114,0.0237341772151899,0.0300632911392405,0.748417721518987,0.789556962025316,0.0965189873417722,0.0284810126582278,0.0854430379746835,0.210443037974684,3,0,2601000,"2601000",-92.9895781,34.5035993
"58",7503000,"DANVILLE SCHOOL DISTRICT","Po Box 939
Danville
AR - 72833",59,"DANVILLE SCHOOL DISTRICT",842,0.13895486935867,0.155581947743468,0.00831353919239905,0.292161520190024,0.76603325415677,0.433491686460808,0.527315914489311,0.0130641330166271,0.0261282660332542,0.566508313539192,1,0,7503000,"7503000",-93.3908965,35.0530184
"59",7504000,"DARDANELLE SCHOOL DISTRICT","102 South Front
Dardanelle
AR - 72834",60,"DARDANELLE SCHOOL DISTRICT",2167,0.0499075785582255,0.154343807763401,0.00878003696857671,0.203789279112754,0.701892016612829,0.613290263036456,0.343331795108445,0.0175357637286571,0.0258421781264421,0.386709736963544,1,0,7504000,"7504000",-93.1533592,35.2201772
"60",402000,"DECATUR SCHOOL DISTRICT","1498 Stadium Ave
Decatur
AR - 72722",61,"DECATUR SCHOOL DISTRICT",553,0.0958408679927667,0.130198915009042,0.00180831826401447,0.292947558770344,0.793851717902351,0.520795660036166,0.361663652802893,0.027124773960217,0.0904159132007233,0.479204339963834,1,0,402000,"402000",-94.447189,36.332757
"61",5106000,"DEER/MT. JUDEA SCHOOL DISTRICT","Hwy 16
Deer
AR - 72628",62,"DEER/MT. JUDEA SCHOOL DISTRICT",377,0.0664893617021277,0.0957446808510638,0,0,0.724137931034483,0.941644562334218,0.00795755968169761,0.0026525198938992,0.0477453580901857,0.0583554376657825,1,0,5106000,"5106000",-93.2099072,35.8263451
"62",6701000,"DEQUEEN SCHOOL DISTRICT","101 North 9Th St
De Queen
AR - 71832",63,"DEQUEEN SCHOOL DISTRICT",2411,0.0514309415180423,0.080464537536292,0.0273745333886354,0.387805889672335,0.739112401493156,0.28369970966404,0.610535047698051,0.0228121111571962,0.0829531314807134,0.71630029033596,4,0,6701000,"6701000",-94.3478828,34.0370466
"63",901000,"DERMOTT SCHOOL DISTRICT","525 E Speedway Hwy35
Dermott
AR - 71638",64,"DERMOTT SCHOOL DISTRICT",343,0.0641399416909621,0.17201166180758,0,0.00291545189504373,0.944606413994169,0.032069970845481,0.0204081632653061,0.935860058309038,0.0116618075801749,0.967930029154519,5,0,901000,"901000",-91.4288995,33.5218686
"64",5901000,"DES ARC SCHOOL DISTRICT","600 Main Street
Des Arc
AR - 72040",65,"DES ARC SCHOOL DISTRICT",564,0.0939716312056738,0.132978723404255,0.0514184397163121,0.00531914893617021,0.709219858156028,0.890070921985816,0.0195035460992908,0.0797872340425532,0.0106382978723404,0.109929078014184,5,0,5901000,"5901000",-91.4990372,34.9778368
"65",101000,"DEWITT SCHOOL DISTRICT","422 W First
Dewitt
AR - 72042",66,"DEWITT SCHOOL DISTRICT",1219,0.109105824446267,0.123872026251025,0.0114848236259229,0.029532403609516,0.599180327868852,0.794093519278097,0.0451189499589828,0.115668580803938,0.0451189499589828,0.205906480721903,5,0,101000,"101000",-91.3398057,34.2948074
"66",3102000,"DIERKS SCHOOL DISTRICT","900 Old Hwy 70 West
Dierks
AR - 71833",67,"DIERKS SCHOOL DISTRICT",571,0.0718038528896672,0.124343257443082,0.00175131348511384,0.031523642732049,0.646234676007005,0.907180385288967,0.0630472854640981,0.00700525394045534,0.0227670753064799,0.0928196147110333,4,0,3102000,"3102000",-94.0304333,34.1190901
"67",6094000,"DIVISION OF YOUTH SERVICES SCHOOL SYSTEM","700 Maint St
Little Rock
AR - 72203",68,"DIVISION OF YOUTH SERVICES SCHOOL SYS",184,0,0.304347826086957,0,0,0.755434782608696,0.396739130434783,0.0652173913043478,0.532608695652174,0.00543478260869565,0.603260869565217,3,0,6094000,"6094000",-92.2718874,34.7418348
"68",3502000,"DOLLARWAY SCHOOL DISTRICT","4900 Dollarway Road
Pine Bluff
AR - 71602",69,"DOLLARWAY SCHOOL DISTRICT",961,0.0832466181061394,0.145681581685744,0.0208116545265349,0.0187304890738814,0.933402705515088,0.0520291363163371,0.0239334027055151,0.911550468262227,0.0124869927159209,0.947970863683663,3,0,3502000,"3502000",-92.0553782,34.2406032
"69",5802000,"DOVER SCHOOL DISTRICT","9371 Market St
Dover
AR - 72837",70,"DOVER SCHOOL DISTRICT",1351,0.0822222222222222,0.162222222222222,0.0244444444444444,0.00962962962962963,0.620281273131014,0.934122871946706,0.0355292376017765,0.00518134715025907,0.0251665433012583,0.0658771280532938,1,0,5802000,"5802000",-93.1145495,35.3970302
"70",2202000,"DREW CENTRAL SCHOOL DISTRICT","250 University Dr
Monticello
AR - 71655",71,"DREW CENTRAL SCHOOL DISTRICT",1029,0.104956268221574,0.155490767735666,0.00583090379008746,0.0505344995140913,0.733722060252673,0.645286686103013,0.0680272108843537,0.254616132167153,0.032069970845481,0.354713313896987,5,0,2202000,"2202000",-91.8009524,33.5934774
"71",2104000,"DUMAS SCHOOL DISTRICT","213 Adams St
Dumas
AR - 71639",72,"DUMAS SCHOOL DISTRICT",1215,0.0905349794238683,0.119341563786008,0.00987654320987654,0.0839506172839506,0.798353909465021,0.204115226337449,0.11440329218107,0.664197530864198,0.0172839506172839,0.795884773662551,5,0,2104000,"2104000",-91.4852019,33.886123
"72",1802000,"EARLE SCHOOL DISTRICT","1401 Third St
Earle
AR - 72331",73,"EARLE SCHOOL DISTRICT",540,0.111111111111111,0.127777777777778,0.0037037037037037,0,0.948148148148148,0.0166666666666667,0.0037037037037037,0.972222222222222,0.00740740740740741,0.983333333333333,2,0,1802000,"1802000",-90.4706688,35.2718692
"73",5301000,"EAST END SCHOOL DISTRICT","P.O. Box 360
Bigelow
AR - 72016",74,"EAST END SCHOOL DISTRICT",654,0.120795107033639,0.181957186544343,0.0305810397553517,0.0382262996941896,0.640672782874618,0.837920489296636,0.103975535168196,0.0214067278287462,0.036697247706422,0.162079510703364,1,0,5301000,"5301000",-92.6298847,35.0011986
"74",5608000,"EAST POINSETT CO. SCHOOL DIST.","502 Mcclellan St.
Lepanto
AR - 72354",75,"EAST POINSETT CO. SCHOOL DIST.",662,0.110438729198185,0.169440242057489,0.0529500756429652,0.0287443267776097,0.72809667673716,0.761329305135952,0.0845921450151057,0.11178247734139,0.0422960725075529,0.238670694864048,2,0,5608000,"5608000",-90.3407535,35.6099649
"75",7001000,"EL DORADO SCHOOL DISTRICT","200 West Oak Street
El Dorado
AR - 71730",76,"EL DORADO SCHOOL DISTRICT",4278,0.157082748948107,0.0923328658251519,0.0091164095371669,0.0453482935951379,0.643525011687704,0.376344086021505,0.0906965871902758,0.488078541374474,0.0448807854137447,0.623655913978495,4,0,7001000,"7001000",-92.6651976,33.2135621
