"","id","id2","geography","households_estimate_total","less10_000","10k_to_14_999","15k_to_24_999","25k_to_34_999","35k_to_49_999","50k_to_74_999","75k_to_99_999","100k_to_149_999","150k_to_199_999","200k_plus","median_income","mean_income","pct_allocated_household_income","pct_allocated_family_income","pct_allocated_nonfamily_income","Low_Wage_Households"
"64","0500000US05127",5127,"Scott County, Arkansas",3972,12.2,10,14,11.5,20.5,16.4,7.5,4.9,2,1.1,37396,44938,44.8,"(X)","(X)",36.2
"65","0500000US05129",5129,"Searcy County, Arkansas",3336,12.5,8,15.4,11.7,19.2,16.4,9.4,3.7,1.9,1.9,36716,47884,38.4,"(X)","(X)",35.9
"66","0500000US05131",5131,"Sebastian County, Arkansas",50301,9,7.2,14.7,13.1,13.9,18.1,10.3,9.5,1.7,2.6,40932,58991,33.8,"(X)","(X)",30.9
"67","0500000US05133",5133,"Sevier County, Arkansas",5984,8.8,7,14.4,10.5,15.9,22.9,11,7,2.1,0.5,43675,50684,37.8,"(X)","(X)",30.2
"68","0500000US05135",5135,"Sharp County, Arkansas",7296,10.5,8.5,20,15.3,15,16.5,8.6,3.7,0.8,1.1,31792,47891,30.3,"(X)","(X)",39
"69","0500000US05137",5137,"Stone County, Arkansas",4910,7.5,13.8,17,13.3,15.7,14.7,7,8.3,1.5,1.1,33091,48029,30.2,"(X)","(X)",38.3
"70","0500000US05139",5139,"Union County, Arkansas",16189,11.7,7.5,13.1,11.6,13.1,18,11.2,9.7,1.5,2.6,41106,56546,37.2,"(X)","(X)",32.3
"71","0500000US05141",5141,"Van Buren County, Arkansas",6867,9.8,9.3,16,15.8,16,13.2,9.9,7.6,1.5,0.9,34428,47256,24.1,"(X)","(X)",35.1
"72","0500000US05143",5143,"Washington County, Arkansas",84460,8.6,5,11.5,12.1,15.5,18.4,9.8,10.6,4.4,4.2,47452,68715,22,"(X)","(X)",25.1
"73","0500000US05145",5145,"White County, Arkansas",29217,8.7,6.6,12.9,12.1,14.6,18.1,11.3,10.4,2.5,2.8,44074,60710,29.1,"(X)","(X)",28.2
"74","0500000US05147",5147,"Woodruff County, Arkansas",2874,16.2,11.6,18.1,10.2,12.1,12.3,11,5.1,1.9,1.4,30097,44242,43.2,"(X)","(X)",45.9
"75","0500000US05149",5149,"Yell County, Arkansas",7555,8.9,4.9,15.2,14.2,16.7,15.3,12.1,9,2.3,1.3,39696,54048,57.1,"(X)","(X)",29
